priority_ratio,package_ratio,real_package_ratio,total_orders,complete_orders,complete_orders_percentage,orders_with_priority_1,complete_orders_with_priority_1,complete_orders_with_priority_1_percentage,orders_with_priority_2,complete_orders_with_priority_2,complete_orders_with_priority_2_percentage,Total_time_between_order_and_delivery_prio1,Total_time_between_order_and_delivery_prio2,total_wait_time_sec,total_delay_time_sec,total_req_time_sec,total_time_sec,avg_dist_traveled_km,avg_empty_dist_traveled_km,avg_rebl_dist_traveled_km,avg_time_traveled_s,avg_empty_time_traveled_s,avg_rebl_time_traveled_s
1.2,0.40,0.666970802919708,3654,3379,92.47400109469075,1462,1349,92.27086183310533,2192,2030,92.6094890510949,27.192029404497134,28.321062068965503,1300267.229999998,2293884.659999999,2056276.3299999991,5650428.219999996,389.7218116954908,43.10425051771365,32.98428317317565,77691.56266666675,8893.08433333333,4530.743333333333
1.2,0.45,0.817910447761194,3654,3353,91.7624521072797,1644,1503,91.42335766423358,2010,1850,92.03980099502488,26.50337402971835,28.77142936936939,1283782.640000002,2253539.779999998,2046380.5100000028,5583702.9300000025,387.9879820248702,43.68984392656968,35.855222896156306,77737.69166666672,9218.94066666667,4973.9766666666665
1.2,0.50,1.0,3654,3367,92.1455938697318,1827,1675,91.68035030103995,1827,1692,92.61083743842364,26.996637711442766,27.989666962174933,1279717.7599999998,2226932.9599999967,2048022.3600000003,5554673.079999996,391.6593525813734,44.53670491005481,31.940725364947024,77677.70466666672,9314.359666666664,4363.396666666666
1.2,0.55,1.2226277372262773,3654,3330,91.13300492610837,2010,1810,90.04975124378109,1644,1520,92.45742092457421,27.241543554327784,29.143166995614035,1283981.8499999982,2295695.299999999,2036611.3100000005,5616288.459999997,391.21945201919794,42.39490211335346,35.92355186120925,77702.17133333338,8879.594000000001,4976.2643333333335
1.2,0.60,1.4993160054719563,3654,3307,90.50355774493705,2192,1974,90.05474452554745,1462,1333,91.17647058823529,26.929027777777815,28.911619779944967,1262927.2600000005,2225038.560000002,2013859.5800000008,5501825.400000003,392.7114167874976,43.14691701273421,40.28697169842612,77764.80733333336,8991.380666666666,5547.816666666666
1.2,0.65,1.8591549295774648,3654,3343,91.48877941981391,2376,2171,91.37205387205387,1278,1172,91.70579029733959,27.398352525717833,28.64330091012517,1275960.0500000012,2268814.830000003,2038331.4400000032,5583106.320000008,390.28155040476463,42.91543949823404,33.76534822177339,77660.57033333337,9056.805333333334,4613.332333333334
1.2,0.70,2.336986301369863,3654,3324,90.9688013136289,2559,2333,91.1684251660805,1095,991,90.50228310502283,27.245578225460733,28.368573999327282,1257947.6599999971,2212534.9799999995,2030148.8099999968,5500631.449999994,390.12687125419757,45.006893990041725,31.45057668101786,77782.5063333334,9313.801333333331,4420.235333333332
1.2,0.75,2.99781181619256,3654,3279,89.73727422003284,2740,2433,88.7956204379562,914,846,92.5601750547046,27.25567790108234,29.11949881796691,1243452.4300000006,2202855.9499999983,2010581.2400000007,5456889.619999999,391.92596128167935,43.017053552319474,37.9099295658227,77634.08200000008,9058.029666666667,5325.143333333334
1.2,0.80,3.9986320109439126,3654,3270,89.49096880131363,2923,2619,89.59972630858707,731,651,89.05608755129958,27.489847397225397,29.48954710701485,1249056.4799999995,2220463.0799999963,2002096.7700000028,5471616.329999998,393.34652551519054,45.37180045624067,37.431904102593016,77635.41500000002,9374.38466666667,4931.944666666666
1.2,0.85,5.6923076923076925,3654,3316,90.74986316365627,3108,2812,90.47619047619048,546,504,92.3076923076923,27.336732278330988,29.340164351851865,1246794.2500000005,2228904.4500000016,2023801.340000003,5499500.040000005,395.008216786874,43.504253885314625,35.668126482819076,77779.73933333339,9058.049333333332,4647.997
1.2,0.90,9.01095890410959,3654,3297,90.22988505747126,3289,2959,89.96655518394648,365,338,92.6027397260274,27.498712740790804,29.51712623274162,1247456.16,2217188.7600000002,2016083.8599999994,5480728.779999999,391.79713851279183,45.53726676594632,35.223684227176655,77661.17000000006,9568.796666666667,4866.099
1.2,0.95,19.076923076923077,3654,3285,89.90147783251231,3472,3116,89.74654377880184,182,169,92.85714285714286,27.552416987590963,29.86471499013806,1223725.1600000001,2234192.600000001,1996110.3300000047,5454028.090000005,394.0583009679801,41.79429413064563,38.19545180286344,77766.47366666674,8729.687333333333,5303.841333333333
1.3,0.05,0.05241935483870968,3654,3432,93.92446633825944,182,175,96.15384615384616,3472,3257,93.80760368663594,25.35727904761904,27.914832258724815,1350007.2800000007,2267239.7499999986,2104120.9200000037,5721367.950000003,389.0816160851576,44.87320295437236,34.03846003178588,77694.5033333334,9406.776000000002,4709.170999999999
1.3,0.10,0.11097598054119794,3654,3372,92.28243021346469,365,331,90.68493150684931,3289,3041,92.45971419884464,26.102583585095655,28.55670897731009,1356723.079999998,2333392.8900000025,2038738.4599999988,5728854.43,392.254493773729,43.37768575328087,41.32711076249589,77733.02766666673,8904.357333333335,5698.778333333333
1.3,0.15,0.17567567567567569,3654,3402,93.10344827586206,546,500,91.57509157509158,3108,2902,93.37194337194337,26.044694333333343,28.393903227659106,1341671.2500000035,2305396.78,2078219.2300000011,5725287.260000004,392.71087741410537,42.5836347902544,37.30780122547425,77795.1866666667,8978.473333333333,5081.2390000000005
